,Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
254,Y,AGE,"AgeX Therapeutics, Inc. Common Stock",A, ,N,100.0,N,,AGE,AGE,N
255,Y,AGEN,Agenus Inc. - Common Stock,Q,S,N,100.0,N,N,,AGEN,N
256,Y,AGFY,Agrify Corporation - Common Stock,Q,S,N,100.0,N,E,,AGFY,N
257,Y,AGG,iShares Core U.S. Aggregate Bond ETF,P, ,Y,100.0,N,,AGG,AGG,N
258,Y,AGGH,Simplify Exchange Traded Funds Simplify Aggregate Bond PLUS Credit Hedge ETF,P, ,Y,100.0,N,,AGGH,AGGH,N
259,Y,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,P, ,Y,100.0,N,,AGGY,AGGY,N
260,Y,AGI,Alamos Gold Inc. Class A Common Shares,N, ,N,100.0,N,,AGI,AGI,N
261,Y,AGIH,iShares U.S. ETF Trust iShares Inflation Hedged U.S. Aggregate Bond ETF,P, ,Y,100.0,N,,AGIH,AGIH,N
262,Y,AGIL,"AgileThought, Inc. - Class A Common Stock",Q,S,N,100.0,N,D,,AGIL,N
263,Y,AGILW,"AgileThought, Inc. - Warrant",Q,S,N,100.0,N,N,,AGILW,N
264,Y,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AGIO,N
265,Y,AGL,"agilon health, inc. Common Stock",N, ,N,100.0,N,,AGL,AGL,N
266,Y,AGLE,"Aeglea BioTherapeutics, Inc. - Common Stock",Q,S,N,100.0,N,D,,AGLE,N
267,Y,AGM,Federal Agricultural Mortgage Corporation Common Stock,N, ,N,100.0,N,,AGM,AGM,N
274,Y,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Q,S,N,100.0,N,E,,AGMH,N
275,Y,AGNC,AGNC Investment Corp. - Common Stock,Q,Q,N,100.0,N,N,,AGNC,N
276,Y,AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,N,,AGNCL,N
277,Y,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,Q,N,100.0,N,N,,AGNCM,N
278,Y,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,N,,AGNCN,N
